Date,Close,High,Low,Open,Volume,Moving average - 20,Moving average - 50,Signal,Profit/Lost
2025-07-21,18.139999389648438,18.579999923706055,17.899999618530273,18.0,7026,,,0,0.0
2025-07-22,18.100000381469727,18.139999389648438,17.979999542236328,18.139999389648438,3071,,,0,0.0
2025-07-23,17.979999542236328,18.040000915527344,17.799999237060547,17.979999542236328,6609,,,0,0.0
2025-07-24,17.84000015258789,18.0,17.799999237060547,17.979999542236328,8268,,,0,0.0
2025-07-25,18.100000381469727,18.100000381469727,17.81999969482422,17.979999542236328,4393,,,0,0.0
2025-07-28,17.719999313354492,18.100000381469727,17.700000762939453,18.100000381469727,11677,,,0,0.0
2025-07-29,17.799999237060547,18.040000915527344,17.559999465942383,17.600000381469727,5252,,,0,0.0
2025-07-30,18.5,19.200000762939453,18.1200008392334,18.459999084472656,65859,,,0,0.0
2025-07-31,18.799999237060547,19.020000457763672,18.200000762939453,18.5,42009,,,0,0.0
2025-08-01,18.719999313354492,18.860000610351562,18.31999969482422,18.799999237060547,14080,,,0,0.0
2025-08-04,18.700000762939453,18.959999084472656,18.700000762939453,18.920000076293945,16070,,,0,0.0
2025-08-05,18.600000381469727,18.8799991607666,18.399999618530273,18.700000762939453,16717,,,0,0.0
2025-08-06,18.5,18.700000762939453,18.31999969482422,18.600000381469727,11981,,,0,0.0
2025-08-07,18.899999618530273,19.299999237060547,18.600000381469727,18.600000381469727,52591,,,0,0.0
2025-08-08,19.040000915527344,19.1200008392334,18.639999389648438,19.0,13567,,,0,0.0
2025-08-11,19.280000686645508,19.440000534057617,18.81999969482422,19.299999237060547,31595,,,0,0.0
2025-08-12,19.079999923706055,19.299999237060547,18.84000015258789,19.280000686645508,10486,,,0,0.0
2025-08-13,19.0,19.200000762939453,18.799999237060547,19.079999923706055,12325,,,0,0.0
2025-08-14,19.700000762939453,19.739999771118164,18.719999313354492,18.899999618530273,32242,,,0,0.0
2025-08-18,19.739999771118164,20.0,19.1200008392334,19.799999237060547,41927,18.611999988555908,,0,0.0
2025-08-19,20.799999237060547,20.799999237060547,19.799999237060547,19.979999542236328,48622,18.744999980926515,,0,0.0
2025-08-20,22.0,22.399999618530273,20.899999618530273,20.899999618530273,96580,18.939999961853026,,0,0.0
2025-08-21,21.200000762939453,22.399999618530273,20.899999618530273,22.399999618530273,36920,19.101000022888183,,0,0.0
2025-08-22,21.200000762939453,21.299999237060547,20.149999618530273,21.0,51718,19.26900005340576,,0,0.0
2025-08-25,20.200000762939453,21.0,20.049999237060547,21.0,13313,19.374000072479248,,0,0.0
2025-08-26,19.639999389648438,20.200000762939453,19.5,20.200000762939453,22986,19.470000076293946,,0,0.0
2025-08-27,19.139999389648438,19.639999389648438,19.040000915527344,19.600000381469727,11126,19.53700008392334,,0,0.0
2025-08-28,19.079999923706055,19.18000030517578,18.84000015258789,19.18000030517578,18823,19.566000080108644,,0,0.0
2025-08-29,19.299999237060547,19.540000915527344,19.020000457763672,19.18000030517578,8018,19.591000080108643,,0,0.0
2025-09-01,19.280000686645508,19.760000228881836,19.0,19.0,10747,19.619000148773193,,0,0.0
2025-09-02,18.920000076293945,19.200000762939453,18.899999618530273,19.139999389648438,5714,19.630000114440918,,0,0.0
2025-09-03,19.020000457763672,19.100000381469727,18.899999618530273,19.0,3702,19.651000118255617,,0,0.0
2025-09-04,19.200000762939453,19.399999618530273,18.899999618530273,19.18000030517578,13996,19.68600015640259,,0,0.0
2025-09-05,18.959999084472656,19.18000030517578,18.899999618530273,19.0,12107,19.689000129699707,,0,0.0
2025-09-08,18.979999542236328,19.0,18.739999771118164,19.0,9945,19.686000061035156,,0,0.0
2025-09-09,18.700000762939453,19.459999084472656,18.700000762939453,19.0,7647,19.657000064849854,,0,0.0
2025-09-10,18.219999313354492,18.68000030517578,18.18000030517578,18.299999237060547,23027,19.614000034332275,,0,0.0
2025-09-11,17.899999618530273,18.600000381469727,17.420000076293945,18.219999313354492,20801,19.55900001525879,,0,0.0
2025-09-12,18.200000762939453,18.219999313354492,17.940000534057617,17.940000534057617,5768,19.48400001525879,,0,0.0
2025-09-15,18.700000762939453,18.760000228881836,18.260000228881836,18.260000228881836,6439,19.432000064849852,,0,0.0
2025-09-16,18.700000762939453,19.34000015258789,18.5,18.700000762939453,13409,19.3270001411438,,0,0.0
2025-09-17,18.780000686645508,18.979999542236328,18.6200008392334,18.700000762939453,5464,19.166000175476075,,0,0.0
2025-09-18,18.920000076293945,19.079999923706055,18.700000762939453,18.780000686645508,6557,19.0520001411438,,0,0.0
2025-09-19,18.700000762939453,19.0,18.700000762939453,18.780000686645508,6853,18.9270001411438,,0,0.0
2025-09-22,18.700000762939453,18.899999618530273,18.700000762939453,18.899999618530273,5354,18.852000141143797,,0,0.0
2025-09-23,18.719999313354492,18.8799991607666,18.68000030517578,18.780000686645508,9572,18.8060001373291,,0,0.0
2025-09-24,18.700000762939453,18.979999542236328,18.68000030517578,18.760000228881836,4810,18.784000205993653,,0,0.0
2025-09-25,18.719999313354492,18.979999542236328,18.68000030517578,18.979999542236328,5415,18.766000175476073,,0,0.0
2025-09-26,18.8799991607666,18.920000076293945,18.700000762939453,18.719999313354492,3592,18.745000171661378,,0,0.0
